Event,Sport,Slug
"Wrestling Men's Featherweight, Greco-Roman",Wrestling,wrestling-men-s-featherweight-greco-roman
Table Tennis Men's Singles,Table Tennis,table-tennis-men-s-singles
Art Competitions Mixed Painting,Art Competitions,art-competitions-mixed-painting
Cross Country Skiing Women's 3 x 5 kilometres Relay,Cross Country Skiing,cross-country-skiing-women-s-3-x-5-kilometres-relay
Judo Men's Open Class,Judo,judo-men-s-open-class
Rowing Women's Quadruple Sculls,Rowing,rowing-women-s-quadruple-sculls
"Gymnastics Men's Team All-Around, Swedish System",Gymnastics,gymnastics-men-s-team-all-around-swedish-system
Nordic Combined Men's Sprint,Nordic Combined,nordic-combined-men-s-sprint
Athletics Women's Pentathlon,Athletics,athletics-women-s-pentathlon
"Art Competitions Mixed Painting, Unknown Event",Art Competitions,art-competitions-mixed-painting-unknown-event
"Cycling Men's Team Pursuit, 4,000 metres",Cycling,cycling-men-s-team-pursuit-4000-metres
Weightlifting Women's Middleweight,Weightlifting,weightlifting-women-s-middleweight
"Swimming Men's 1,500 metres Freestyle",Swimming,swimming-men-s-1500-metres-freestyle
"Wrestling Women's Light-Heavyweight, Freestyle",Wrestling,wrestling-women-s-light-heavyweight-freestyle
Swimming Women's 100 metres Freestyle,Swimming,swimming-women-s-100-metres-freestyle
"Equestrianism Men's Jumping, Individual",Equestrianism,equestrianism-men-s-jumping-individual
"Equestrianism Men's Jumping, Team",Equestrianism,equestrianism-men-s-jumping-team
"Equestrianism Men's Three-Day Event, Individual",Equestrianism,equestrianism-men-s-three-day-event-individual
"Equestrianism Men's Three-Day Event, Team",Equestrianism,equestrianism-men-s-three-day-event-team
Alpine Skiing Women's Combined,Alpine Skiing,alpine-skiing-women-s-combined
Athletics Women's High Jump,Athletics,athletics-women-s-high-jump
"Ski Jumping Men's Normal Hill, Individual",Ski Jumping,ski-jumping-men-s-normal-hill-individual
"Canoeing Women's Kayak Fours, 500 metres",Canoeing,canoeing-women-s-kayak-fours-500-metres
Ice Hockey Women's Ice Hockey,Ice Hockey,ice-hockey-women-s-ice-hockey
Sailing Men's One Person Dinghy,Sailing,sailing-men-s-one-person-dinghy
Trampolining Women's Individual,Trampolining,trampolining-women-s-individual
Curling Men's Curling,Curling,curling-men-s-curling
Art Competitions Mixed Literature,Art Competitions,art-competitions-mixed-literature
Judo Men's Middleweight,Judo,judo-men-s-middleweight
Biathlon Women's 15 kilometres,Biathlon,biathlon-women-s-15-kilometres
Biathlon Women's 3 x 7.5 kilometres Relay,Biathlon,biathlon-women-s-3-x-7-5-kilometres-relay
Biathlon Women's 4 x 7.5 kilometres Relay,Biathlon,biathlon-women-s-4-x-7-5-kilometres-relay
Judo Men's Half-Lightweight,Judo,judo-men-s-half-lightweight
"Fencing Women's Foil, Team",Fencing,fencing-women-s-foil-team
Swimming Women's 200 metres Butterfly,Swimming,swimming-women-s-200-metres-butterfly
Swimming Women's 400 metres Individual Medley,Swimming,swimming-women-s-400-metres-individual-medley
Golf Men's Individual,Golf,golf-men-s-individual
Athletics Men's Standing High Jump,Athletics,athletics-men-s-standing-high-jump
Athletics Men's Standing Long Jump,Athletics,athletics-men-s-standing-long-jump
Athletics Men's 20 kilometres Walk,Athletics,athletics-men-s-20-kilometres-walk
Swimming Men's 220 yard Freestyle,Swimming,swimming-men-s-220-yard-freestyle
Swimming Men's 880 yard Freestyle,Swimming,swimming-men-s-880-yard-freestyle
Swimming Men's One Mile Freestyle,Swimming,swimming-men-s-one-mile-freestyle
Swimming Men's 4 x 50 Yard Freestyle Relay,Swimming,swimming-men-s-4-x-50-yard-freestyle-relay
Swimming Men's Plunge For Distance,Swimming,swimming-men-s-plunge-for-distance
"Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting,shooting-men-s-free-rifle-three-positions-300-metres
"Shooting Men's Military Rifle, Three Positions, 300 metres",Shooting,shooting-men-s-military-rifle-three-positions-300-metres
"Shooting Men's Military Rifle, Any Position, 600 metres",Shooting,shooting-men-s-military-rifle-any-position-600-metres
"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Shooting,shooting-men-s-military-rifle-200-400-500-and-600-metres-team
"Shooting Men's Military Rifle, Prone, 300 metres",Shooting,shooting-men-s-military-rifle-prone-300-metres
Judo Men's Half-Heavyweight,Judo,judo-men-s-half-heavyweight
Archery Women's Team,Archery,archery-women-s-team
Athletics Men's 50 kilometres Walk,Athletics,athletics-men-s-50-kilometres-walk
Rowing Women's Double Sculls,Rowing,rowing-women-s-double-sculls
Sailing Mixed 6 metres,Sailing,sailing-mixed-6-metres
Boxing Men's Light-Heavyweight,Boxing,boxing-men-s-light-heavyweight
Boxing Women's Flyweight,Boxing,boxing-women-s-flyweight
Athletics Women's 100 metres Hurdles,Athletics,athletics-women-s-100-metres-hurdles
"Athletics Men's Discus Throw, Greek Style",Athletics,athletics-men-s-discus-throw-greek-style
Curling Women's Curling,Curling,curling-women-s-curling
Sailing Mixed One Person Dinghy,Sailing,sailing-mixed-one-person-dinghy
"Wrestling Women's Heavyweight, Freestyle",Wrestling,wrestling-women-s-heavyweight-freestyle
Badminton Mixed Doubles,Badminton,badminton-mixed-doubles
"Fencing Women's Foil, Individual",Fencing,fencing-women-s-foil-individual
Sailing Mixed Two Person Keelboat,Sailing,sailing-mixed-two-person-keelboat
"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Shooting,shooting-men-s-military-rifle-300-metres-and-600-metres-prone-team
Table Tennis Men's Doubles,Table Tennis,table-tennis-men-s-doubles
"Wrestling Men's Light-Flyweight, Freestyle",Wrestling,wrestling-men-s-light-flyweight-freestyle
"Wrestling Women's Featherweight, Freestyle",Wrestling,wrestling-women-s-featherweight-freestyle
